"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Montgomery, Jordan","656756","2022","29","178.1","724","677","159","158","36",21.8,5,".235",".277","66","2","14","8",".258","-0.023"
"Peterson, David","656849","2022","26","105.2","454","394","93","126","48",27.8,10.6,".236",".315","38","3","12","7",".231",".005"
"Rasmussen, Drew","656876","2022","26","146.0","584","545","121","125","31",21.4,5.3,".222",".264","41","0","11","3",".238","-0.016"
"Steele, Justin","657006","2022","26","119.0","512","454","111","126","50",24.6,9.8,".244",".318","30","0","15","3",".237",".007"
"Watkins, Spenser","657093","2022","29","105.1","459","423","119","63","30",13.7,6.5,".281",".308","78","0","4","4",".285","-0.004"
"Wright, Kyle","657140","2022","26","180.1","738","672","156","174","53",23.6,7.2,".232",".284","19","2","27","9",".244","-0.012"
"Otto Jr., Glenn","657248","2022","26","135.2","587","505","119","107","62",18.2,10.6,".236",".257","97","0","14","13",".247","-0.011"
"Webb, Logan","657277","2022","25","192.1","787","726","174","163","49",20.7,6.2,".240",".294","63","1","23","7",".247","-0.007"
"Ryan, Joe","657746","2022","26","147.0","604","546","115","151","47",25,7.8,".211",".253","55","2","10","10",".215","-0.004"
"Ohtani, Shohei","660271","2022","27","166.0","660","610","124","219","44",33.2,6.7,".203",".289","23","0","11","2",".204","-0.001"
"Suarez, José","660761","2022","24","109.0","462","423","103","103","33",22.3,7.1,".243",".290","47","1","4","4",".234",".009"
"Feltner, Ryan","663372","2022","25","97.1","428","383","102","84","35",19.6,8.2,".266",".300","43","0","7","5",".260",".006"
"Bubic, Kris","663460","2022","24","129.0","587","510","156","110","63",18.7,10.7,".306",".353","56","0","19","4",".286",".020"
"McKenzie, Triston","663474","2022","24","191.1","741","688","138","190","44",25.6,5.9,".201",".238","49","0","15","5",".222","-0.021"
"McClanahan, Shane","663556","2022","25","166.1","640","597","116","194","37",30.3,5.8,".194",".252","30","2","16","3",".207","-0.013"
"Lynch IV, Daniel","663738","2022","25","131.2","600","535","155","122","52",20.3,8.7,".290",".337","69","1","12","5",".276",".014"
"Sandoval, Patrick","663776","2022","25","148.2","638","565","139","151","60",23.7,9.4,".246",".320","28","2","15","5",".245",".001"
"Singer, Brady","663903","2022","25","153.1","621","569","140","150","35",24.2,5.6,".246",".303","17","0","19","11",".247","-0.001"
"Gonsolin, Tony","664062","2022","28","130.1","498","458","79","119","35",23.9,7,".172",".207","36","0","12","4",".220","-0.048"
"Brubaker, JT","664141","2022","28","144.0","646","580","157","147","54",22.8,8.4,".271",".334","45","0","16","9",".256",".015"
"Valdez, Framber","664285","2022","28","201.1","827","745","166","194","67",23.5,8.1,".223",".286","65","0","26","11",".227","-0.004"
"Javier, Cristian","664299","2022","25","148.2","585","524","89","194","52",33.2,8.9,".170",".229","68","1","7","6",".168",".002"
"Urquidy, José","664353","2022","27","164.1","681","630","154","134","38",19.7,5.6,".244",".264","76","0","9","7",".256","-0.012"
"Kremer, Dean","665152","2022","26","125.1","512","469","123","87","34",17,6.6,".262",".300","64","1","18","5",".265","-0.003"
"Anderson, Ian","666120","2022","24","111.2","493","436","115","97","54",19.7,11,".264",".313","21","0","9","1",".254",".010"
"Lodolo, Nick","666157","2022","24","103.1","441","383","90","131","39",29.7,8.8,".235",".322","21","1","11","19",".214",".021"
"Luzardo, Jesús","666200","2022","24","100.1","400","361","69","120","35",30,8.8,".191",".254","26","1","8","2",".218","-0.027"
"Manoah, Alek","666201","2022","24","196.2","786","713","144","180","51",22.9,6.5,".202",".245","62","0","15","15",".224","-0.022"
"Plesac, Zach","668676","2022","27","131.2","568","524","136","100","38",17.6,6.7,".260",".288","60","1","9","5",".278","-0.018"
"Gallen, Zac","668678","2022","26","184.0","714","651","121","192","47",26.9,6.6,".186",".237","144","0","15","12",".213","-0.027"
"Greene, Hunter","668881","2022","22","125.2","531","469","104","164","48",30.9,9,".222",".281","81","0","8","10",".219",".003"
"Ashcraft, Graham","668933","2022","24","105.0","464","423","119","71","30",15.3,6.5,".281",".314","39","0","9","8",".262",".019"
"Wilson, Bryse","669060","2022","24","115.2","509","460","132","79","32",15.5,6.3,".287",".305","27","0","15","9",".291","-0.004"
"Heasley, Jonathan","669169","2022","25","104.0","465","404","108","70","47",15.1,10.1,".267",".276","33","0","11","6",".268","-0.001"
"Burnes, Corbin","669203","2022","27","202.0","797","731","144","243","51",30.5,6.4,".197",".259","74","1","19","13",".212","-0.015"
"Gilbert, Logan","669302","2022","25","185.2","766","702","170","174","49",22.7,6.4,".242",".294","37","0","12","6",".253","-0.011"
"Wells, Tyler","669330","2022","27","103.2","423","389","90","76","28",18,6.6,".231",".247","69","1","5","2",".230",".001"
"Skubal, Tarik","669373","2022","25","117.2","477","438","104","117","32",24.5,6.7,".237",".301","28","2","10","1",".231",".006"
"Rogers, Trevor","669432","2022","24","107.0","477","423","116","106","45",22.2,9.4,".274",".330","50","1","10","5",".262",".012"
"Bieber, Shane","669456","2022","27","200.0","791","747","172","198","36",25,4.6,".230",".288","33","0","19","2",".245","-0.015"
"Pallante, Andre","669467","2022","23","108.0","457","413","113","73","40",16,8.8,".274",".313","28","0","19","1",".254",".020"
"Kirby, George","669923","2022","24","130.0","542","511","135","133","22",24.5,4.1,".264",".332","50","1","10","5",".233",".031"
"White, Mitch","669952","2022","27","99.0","440","399","110","78","35",17.7,8,".276",".321","46","0","5","3",".259",".017"
"Detmers, Reid","672282","2022","22","129.0","539","477","110","122","46",22.6,8.5,".231",".278","63","2","11","8",".243","-0.012"
"Contreras, Roansy","672710","2022","22","95.0","408","365","82","86","39",21.1,9.6,".225",".257","28","0","3","2",".240","-0.015"
